grid_id,date,temperature,humidity,precipitation,wind,day_of_week,month,is_weekend,is_holiday,lag_1,lag_3,lag_7,rolling_sum_7,rolling_sum_14,grid_id_enc,rf_prob,rf_pred,temperature_shap,humidity_shap,precipitation_shap,wind_shap,day_of_week_shap,month_shap,is_weekend_shap,is_holiday_shap,lag_1_shap,lag_3_shap,lag_7_shap,rolling_sum_7_shap,rolling_sum_14_shap,grid_id_enc_shap,top_driver_1,top_driver_2,top_driver_3,top_driver_1_shap,top_driver_2_shap,top_driver_3_shap,explanation_text
r20_c14,2024-10-22,17.0,65.0,0.0,12.3,1,10,0,0,0.0,1.0,0.0,3.0,5.0,172,0.6403373958430434,1,-0.005650913213431576,-0.028396054558959313,0.022556836922578323,-0.0295446540756473,-0.010939855351777928,-0.0375262259862751,0.0013918345621075946,-0.001688544175951444,-0.0002045717587991395,-0.021975092535098655,-0.0008433942395676355,0.11827294599043056,0.16121436161508987,-0.026127620301275117,rolling_sum_14,rolling_sum_7,month,0.16121436161508987,0.11827294599043056,-0.0375262259862751,"Risk is elevated mainly because recent 14-period activity (increases risk), recent 7-period activity (increases risk), and month (decreases risk)."
r17_c14,2024-10-19,13.5,59.0,0.0,16.5,5,10,1,0,1.0,0.0,1.0,4.0,5.0,118,0.6136323653177299,1,0.0007765009148275433,-0.013622032024526783,0.019568143365477072,-0.024601111827419316,-0.023587882427092356,-0.03888435958851117,-0.018191510711766348,-0.0006735974857621886,-0.014839440383917662,-0.001574728576293304,-0.010040819129028013,0.10279877905317375,0.13500011275654616,0.0017059684324028622,rolling_sum_14,rolling_sum_7,month,0.13500011275654616,0.10279877905317375,-0.03888435958851117,"Risk is elevated mainly because recent 14-period activity (increases risk), recent 7-period activity (increases risk), and month (decreases risk)."
r17_c14,2024-10-20,14.7,58.0,0.0,11.3,6,10,1,0,0.0,0.0,1.0,3.0,5.0,118,0.5990757492527862,1,0.0022353948824225325,-0.007035384996846093,0.022083504520522462,-0.03128994314805988,-0.04870597923333372,-0.04491971935138336,-0.013263058695673692,-0.0005961822137275899,-0.0014377058254768063,-0.0006704255310078323,-0.017560638600972494,0.11433746250549574,0.12973536448494594,-0.003635282493739506,rolling_sum_14,rolling_sum_7,day_of_week,0.12973536448494594,0.11433746250549574,-0.04870597923333372,"Risk is elevated mainly because recent 14-period activity (increases risk), recent 7-period activity (increases risk), and day of week (decreases risk)."
r10_c12,2024-10-19,13.5,59.0,0.0,16.5,5,10,1,0,0.0,0.0,0.0,0.0,1.0,8,0.5968831270457813,1,0.004944548697786709,0.005118690259505532,0.023721474735537713,-0.01078140870814867,0.0005813484636877313,0.019934239527724305,-0.008727189987050101,-0.0014086378549150534,0.000992530316812929,0.0005684315195607065,0.00029883257925115606,0.00041011637285256867,0.11146659604223327,-0.05003478786867967,rolling_sum_14,grid_id_enc,precipitation,0.11146659604223327,-0.05003478786867967,0.023721474735537713,"Risk is elevated mainly because recent 14-period activity (increases risk), location history (decreases risk), and precipitation (increases risk)."
r1_c12,2024-11-08,20.3,88.0,0.2,9.8,4,11,0,0,0.0,0.0,0.0,0.0,0.0,164,0.5936571595247004,1,-0.026708481838762496,-0.0026958196412223416,0.008786508587556576,0.02720396457804618,0.019357769425482823,0.04089304547349004,0.011389335743994172,-0.0003338203394792608,-0.0002439964677744463,0.00011133142888397172,-9.214035576562647e-05,-0.0027926537374267113,-0.00022873229057346112,0.019212506008629372,month,wind,temperature,0.04089304547349004,0.02720396457804618,-0.026708481838762496,"Risk is elevated mainly because month (increases risk), wind (increases risk), and temperature (decreases risk)."
r19_c6,2024-11-08,20.3,88.0,0.2,9.8,4,11,0,0,0.0,0.0,0.0,0.0,0.0,158,0.5872332393872568,1,-0.024582413597500467,-0.007353029089646205,0.007497888749974054,0.026518816011267154,0.018243406687085822,0.039309183972139485,0.010373188960597081,-4.335260435041222e-05,-0.0002418273400062332,0.00013166691616737591,-9.170697522244932e-05,-0.002421402041357006,-0.0004799924654974466,0.020574469253984717,month,wind,temperature,0.039309183972139485,0.026518816011267154,-0.024582413597500467,"Risk is elevated mainly because month (increases risk), wind (increases risk), and temperature (decreases risk)."
r20_c14,2024-10-21,16.0,60.0,0.0,11.6,0,10,0,0,1.0,0.0,0.0,3.0,5.0,172,0.585008191858527,1,-0.004364897188391946,-0.028994921591037687,0.013180038197293732,-0.031255150256677834,-0.03947848907479006,-0.018651899726700658,-0.0002217496851055382,-0.002331555727984959,-0.030944750124093513,-0.0013057353508736074,-0.0012536562001902634,0.1222951466751146,0.1448198042413004,-0.0362823352789557,rolling_sum_14,rolling_sum_7,day_of_week,0.1448198042413004,0.1222951466751146,-0.03947848907479006,"Risk is elevated mainly because recent 14-period activity (increases risk), recent 7-period activity (increases risk), and day of week (decreases risk)."
r10_c13,2024-10-19,13.5,59.0,0.0,16.5,5,10,1,0,0.0,0.0,0.0,0.0,1.0,9,0.5849945826651034,1,0.0055677283282834795,0.006815913217758761,0.02425142386008594,-0.011931668251476273,0.0005368119032092934,0.021667541787322463,-0.007745840284087384,-0.0014507831302686077,0.0009616095681591421,0.0005922349702086431,0.0002929097893307189,-0.000587221058356826,0.10595306597867131,-0.05972748696335935,rolling_sum_14,grid_id_enc,precipitation,0.10595306597867131,-0.05972748696335935,0.02425142386008594,"Risk is elevated mainly because recent 14-period activity (increases risk), location history (decreases risk), and precipitation (increases risk)."
r19_c9,2024-11-08,20.3,88.0,0.2,9.8,4,11,0,0,0.0,0.0,0.0,0.0,0.0,161,0.5774667413275824,1,-0.026686550379422656,-0.008770501494676987,0.008162660213409207,0.020723186919092206,0.014930248275345632,0.039614129438709254,0.01070237208135491,-0.00036062439723294877,-0.00023910292722413286,0.00011990942573413877,-9.127415243977111e-05,-0.0026818852581188914,-0.00045082736214031464,0.022696657995571357,month,temperature,grid_id_enc,0.039614129438709254,-0.026686550379422656,0.022696657995571357,"Risk is elevated mainly because month (increases risk), temperature (decreases risk), and location history (increases risk)."
r1_c11,2024-11-08,20.3,88.0,0.2,9.8,4,11,0,0,0.0,0.0,0.0,0.0,0.0,163,0.575132716618641,1,-0.02705198921693045,-0.006122296286335898,0.008957940023264095,0.024627465469388418,0.01774243246704087,0.03680612647759271,0.010575303780759744,-0.00045603177004396167,-0.0002414142642603076,0.00011323762632661517,-9.19656905937082e-05,-0.0027927689575420523,-0.0008606567425865593,0.01412899075293958,month,temperature,wind,0.03680612647759271,-0.02705198921693045,0.024627465469388418,"Risk is elevated mainly because month (increases risk), temperature (decreases risk), and wind (increases risk)."
r1_c10,2024-11-08,20.3,88.0,0.2,9.8,4,11,0,0,0.0,0.0,0.0,0.0,0.0,162,0.5750173386082884,1,-0.026956613879796462,-0.008995262121683454,0.00758859489166007,0.022878324765169076,0.01662000123942681,0.03813046162393274,0.010648286062997326,-0.0004661524606817905,-0.0002386789172870768,0.00011571112395686596,-9.083215326952338e-05,-0.0026801864438822137,-0.0007661332623885579,0.019431475190512762,month,temperature,wind,0.03813046162393274,-0.026956613879796462,0.022878324765169076,"Risk is elevated mainly because month (increases risk), temperature (decreases risk), and wind (increases risk)."
r19_c7,2024-11-08,20.3,88.0,0.2,9.8,4,11,0,0,0.0,0.0,0.0,0.0,0.0,159,0.5746330985677024,1,-0.02492804432915303,-0.008042513154029134,0.007174799846795334,0.022950720669043446,0.017568826099881224,0.03361250445672311,0.01059455037276665,-0.0003681229190736266,-0.00023681430987507963,0.00012075334943803966,-9.124709405407775e-05,-0.002716129136251483,-0.0005768160194822233,0.019772287785351367,month,temperature,wind,0.03361250445672311,-0.02492804432915303,0.022950720669043446,"Risk is elevated mainly because month (increases risk), temperature (decreases risk), and wind (increases risk)."
r26_c16,2024-10-19,13.5,59.0,0.0,16.5,5,10,1,0,0.0,0.0,0.0,0.0,1.0,252,0.5705970851505274,1,0.01734802448224369,0.010151639693228104,0.022866266830186336,-0.02337395904611556,-0.008143682136520596,-0.011475172641614685,-0.01742966818032338,-0.0008542438264667997,0.0007664143667029368,0.0003660310855986711,0.0005873953770393454,0.0007995795014648498,0.13184409873070746,-0.052653982035224166,rolling_sum_14,grid_id_enc,wind,0.13184409873070746,-0.052653982035224166,-0.02337395904611556,"Risk is elevated mainly because recent 14-period activity (increases risk), location history (decreases risk), and wind (decreases risk)."
r19_c13,2024-10-31,19.9,73.0,0.0,17.7,3,10,0,0,0.0,0.0,0.0,3.0,5.0,149,0.5683242118391701,1,-0.056959517649525095,-0.05654664212088354,0.01480703289721497,-0.025410109625434784,-0.01716691679997571,-0.07900945026935385,0.0018776367999725123,-0.0007738632661075306,-0.0013223822439943091,-0.0007680086322653108,-0.0006953049320200572,0.13604080757752912,0.1552609516908651,-0.0008083645364717038,rolling_sum_14,rolling_sum_7,month,0.1552609516908651,0.13604080757752912,-0.07900945026935385,"Risk is elevated mainly because recent 14-period activity (increases risk), recent 7-period activity (increases risk), and month (decreases risk)."
